,dates,aldpb,aldpc,aldpi,aldpl,aldpo,aldpp,aldqi,aldqj,aldql,aldqm,aldqn,aldqp,aldqq,aldre,aldrh,aldri,aldrm,aldrn,aldrq,aldsb,aldsh,aldsi,aldsj,aldsl,aldso,aldsp,aldsq
0,1860,-1.9700050997852827,-2.4727863384883904,3.042154718066854,0.246310458606672,1.6353992450678447,-0.07030879003082191,-3.4855229101025884,0.6639616703225215,-0.6602725372193277,3.095020503190085,-1.9972820034301435,-4.146978232455865,-0.7531904846564998,-3.3959042787179214,2.029341418172521,-7.160692443813787,-4.722958250560566,0.13620537638325914,0.7827370482191895,-2.0909480516002645,0.06436852395705728,1.973617504608228,-0.6141780228320499,-1.5540994564461243,-11.250635878729895,-2.9552154008434286,-1.2096853882717937
1,1861,-2.1127243274348757,-2.9501367785748016,2.6807982557165815,-0.06442452081898864,1.4389126750014043,1.269707634880774,-2.0373963382552347,0.33157013378360034,-0.6902011928351612,4.766541463116425,-2.501775072670796,-4.93461783805526,-0.4045418052967875,-2.9091063306869955,2.6131239124963486,-5.488289108664162,-4.394124649586956,0.5792490225758797,1.9894380861182412,-1.775465171398082,-1.2247671216507001,3.2731597616642034,0.05784199383117539,-2.5083928868461953,-9.348201159255723,-2.5254265650717116,-0.31785803063348794
2,1862,-1.6911899232864016,-4.099211089995492,3.0648125308006797,-0.7579438500581546,1.4391129099797126,0.9766332005015101,-1.690250001852803,0.4124885196322907,-0.02722207266839405,5.315272173923802,-2.577094647572835,-5.074005527003578,0.35118262367655007,-2.1946041703021706,2.7944412531110743,-3.6169354842011217,-4.596448710447419,-0.18209810644390245,0.6517272975921742,-1.2141126584820654,-1.0063708395832691,3.290297764517618,0.043694040394314015,-3.508825337265364,-7.002417395658483,-1.9033628003723493,-0.31008087797602
3,1863,-1.6763092632101575,-4.520780070307239,4.038317142812957,0.09304488039316539,1.3979435613006217,0.708022046957808,-0.28443907658828493,1.0748407729782343,0.7351454940421149,5.276097760532309,-1.81977196529175,-3.8037734730203283,0.6514541223103834,-2.6878373644095177,2.4200409831107095,-2.3846839289638524,-4.275805853395298,-0.5332880716551358,-0.733030967333093,-1.8527075796084205,-0.7926488411223431,2.2239426807465748,0.23232589119874092,-5.222652014305993,-6.403519430116489,-2.9523197465863973,0.13975322102277232
4,1864,-1.0453772406449389,-4.495963097932645,3.5044755063595403,1.6547676712173143,1.462352326307439,0.7556081365099772,-0.9091845431212846,0.8378800350562869,0.8302455711669268,5.129024202975984,-1.276099179492121,-1.5640604154393145,-1.1322528360090018,-2.615372129971604,3.7919188264148147,-3.444344470279134,-4.85052448117591,-1.0479092738946747,-2.1655525867421375,-3.0554279995337197,-1.2114364212734472,1.1146581241504805,0.26732854278253626,-6.824512948326117,-6.581015750809854,-4.310395752039199,0.09229215335943763
5,1865,-0.5615394728969818,-3.9649374378032576,3.2098665063743965,2.364416767873479,1.6130550830844754,1.4064833704601938,-1.3418660834973934,0.34370077802378773,0.38895128132776335,5.167435121541359,-0.516212241312644,-0.9923495846834953,-4.4375260982103555,-0.8349223355882032,3.829926921508502,-4.160882283606668,-5.13634809306734,-1.2243950863656892,-2.0459247834845087,-2.1507739785076296,-0.7357126691666735,-0.39801232551815247,-0.357001059700508,-6.779541761795542,-6.217372834143987,-3.744305267814923,0.7438771239024504
6,1866,-0.05726665902881223,-3.9211877622659017,4.560759165017771,2.1752577485753477,1.9758984942988604,1.4692808415808827,-1.526709137028888,0.028841653532253986,0.35100452042098595,5.0853695994649115,-1.6413028236495393,-1.289311837796106,-4.977908820559037,-0.11256856705148266,4.552932880427704,-3.9797122580608857,-5.299016673593599,-1.4518990637412799,-0.8374398130686131,-1.198772467048002,0.6112476651116481,-1.3913029043782785,-0.8914373403263198,-5.103973385083691,-3.8202708916078336,-2.446220848084522,-0.25008482741020543
7,1867,0.5042838160795213,-4.319354617087583,3.3712551913732227,2.7009761167859665,1.921378424848342,1.0262471248565248,-0.3017467684197186,-0.027845989836578156,-0.537340953065609,4.0912925557318545,-2.5385487776503624,-0.1354765850203421,-4.072596467658855,-0.02540986693713876,6.301546579980425,-3.800095980191088,-5.9794476895507955,-2.136722773745305,0.05707303438003919,-1.4107197855937557,0.0028453222814732726,-0.6498821581882908,-1.114740444355732,-2.179383697589344,-5.025695983413584,-3.305083479867733,-1.944882890937663
8,1868,0.05326421671287562,-3.5777290096185084,0.9629547078907308,2.3878372371095224,1.9993044077655782,0.9370397312210912,-0.6612870756046618,0.0214027983203664,-1.7666346815348106,2.593814305561466,-1.8647509699620173,0.39301704185925246,-2.990987850202373,-0.484390025384414,4.919410117163579,-3.313495994352536,-5.3303755701875275,-2.2179504262300043,-0.426786268952867,-1.3053058962609043,-0.2277339277975443,-0.2254704435288204,-0.7532651016083491,1.4643164734084735,-6.623151182808385,-3.7230523724973636,-2.7572159622136496
9,1869,0.07134828249161274,-2.6956845077178286,0.4026034505953362,1.9145725779489453,1.9656160664151798,0.891899694036681,-1.0914112591692628,-0.5786745260977568,-2.107715695816978,2.1869004267859964,-1.3276192700574825,0.17239942764012994,-0.36889940777120955,-0.7159414195455724,3.2515244979496174,-3.5043813999573104,-4.855432141462188,-1.4495213253762813,-1.1093081305481292,-0.6140270812437052,0.196875749054243,1.028130755700431,-0.5608352009292048,2.5664368652653593,-8.697293864114442,-3.039043562037989,-3.1303502155891465
10,1870,0.16637087374084558,-1.9075561784935644,1.7694356518746304,1.109323074426527,2.7141334209371166,0.2945454659736697,-0.35378932044926614,0.04939861043101246,-2.9118910034153487,2.5366417265446444,-1.7745860687423374,0.6498933140899794,1.3580761591430246,-0.9502366073226085,2.266270448855039,-2.9264885587414824,-5.457658615323965,-0.6684711800091918,-0.11867468755519894,0.3683388895473172,0.8408891858143761,2.664605316006714,0.2853764364784297,2.2709892380931933,-8.141191854502324,-2.3337434113923337,-2.822828652062867
