,dates,aldpb,aldpc,aldpi,aldpl,aldpo,aldpp,aldqi,aldqj,aldql,aldqm,aldqn,aldqp,aldqq,aldre,aldrh,aldri,aldrm,aldrn,aldrq,aldsb,aldsh,aldsi,aldsj,aldsl,aldso,aldsp,aldsq
0,1860,-0.079254150390625,0.08673095703125,-0.067047119140625,0.0279541015625,0.115325927734375,-0.2054443359375,-0.234130859375,0.09381103515625,-0.0372314453125,-0.045684814453125,-0.338165283203125,-0.189544677734375,-0.08001708984375,0.246826171875,-0.139617919921875,0.55670166015625,-0.452972412109375,-0.019775390625,0.213409423828125,-0.231231689453125,-0.355987548828125,0.163055419921875,-0.006866455078125,-0.024017333984375,-0.224212646484375,0.187408447265625,0.020111083984375
1,1861,0.005859375,-0.11798095703125,-0.02557373046875,-0.007354736328125,-0.137451171875,-0.15179443359375,-0.298004150390625,0.092254638671875,-0.13555908203125,0.017822265625,-0.318206787109375,-0.128143310546875,-0.057403564453125,0.14794921875,-0.10931396484375,0.5096435546875,-0.198455810546875,-0.1439208984375,-0.14794921875,-0.2630615234375,-0.416778564453125,0.203826904296875,-0.11767578125,-0.156646728515625,0.097320556640625,0.25286865234375,-0.0533447265625
2,1862,-0.1312255859375,-0.08984375,0.091064453125,-0.022216796875,-0.1278076171875,-0.266021728515625,-0.26495361328125,0.06329345703125,-0.09375,0.045135498046875,-0.35394287109375,-0.085235595703125,-0.16485595703125,-0.003204345703125,-0.02392578125,0.5289306640625,-0.033416748046875,-0.27020263671875,-0.308746337890625,-0.206329345703125,-0.2181396484375,-0.048248291015625,-0.0955810546875,-0.153411865234375,-0.196380615234375,0.03533935546875,-0.031463623046875
3,1863,0.049285888671875,-0.150848388671875,0.110809326171875,0.0810546875,-0.008514404296875,-0.3662109375,-0.309295654296875,-0.0052490234375,-0.16900634765625,0.005767822265625,-0.249298095703125,-0.078338623046875,-0.323699951171875,-0.190521240234375,0.1676025390625,0.564483642578125,-0.167572021484375,-0.180267333984375,-0.30816650390625,-0.08465576171875,-0.114532470703125,-0.05096435546875,0.0194091796875,-0.2059326171875,-0.262451171875,-0.125823974609375,-0.149627685546875
4,1864,-0.0084228515625,-0.181060791015625,0.02349853515625,-0.01025390625,0.018585205078125,-0.255950927734375,-0.304840087890625,-0.064453125,-0.104034423828125,-0.13348388671875,-0.164276123046875,-0.04522705078125,-0.30694580078125,-0.08868408203125,0.304656982421875,0.511962890625,-0.312957763671875,-0.273040771484375,-0.22607421875,-0.0262451171875,-0.116241455078125,-0.134185791015625,-0.272491455078125,-0.352081298828125,-0.316009521484375,-0.0345458984375,-0.138427734375
5,1865,-0.0443115234375,-0.194000244140625,-0.0013427734375,-0.039886474609375,0.300140380859375,-0.4521484375,-0.209686279296875,0.0833740234375,-0.06085205078125,-0.18023681640625,-0.3173828125,-0.021148681640625,-0.17474365234375,0.4166259765625,0.06884765625,0.3892822265625,-0.25445556640625,-0.157073974609375,0.05230712890625,-0.18804931640625,-0.059906005859375,-0.183990478515625,-0.249176025390625,-0.09979248046875,-0.200408935546875,0.2294921875,-0.190704345703125
6,1866,0.162811279296875,-0.327972412109375,-0.045440673828125,-0.025360107421875,0.260528564453125,-0.337982177734375,-0.045135498046875,-0.018646240234375,-0.07208251953125,-0.131744384765625,-0.37640380859375,-0.00897216796875,-0.12213134765625,0.138946533203125,0.29296875,0.2535400390625,-0.218536376953125,-0.165557861328125,0.041259765625,-0.13580322265625,-0.055755615234375,-0.01702880859375,-0.3284912109375,0.12176513671875,-0.17572021484375,0.052032470703125,-0.114471435546875
7,1867,0.260833740234375,-0.23382568359375,-0.04974365234375,-0.105682373046875,0.2672119140625,-0.3548583984375,-0.1396484375,0.00372314453125,-0.22003173828125,-0.211578369140625,-0.300018310546875,-0.003753662109375,-0.12420654296875,0.276275634765625,0.3592529296875,0.32940673828125,-0.03173828125,-0.294769287109375,0.00848388671875,-0.12005615234375,-0.126129150390625,0.035064697265625,-0.41094970703125,0.21368408203125,-0.304443359375,0.01202392578125,-0.2386474609375
8,1868,0.043975830078125,-0.10052490234375,-0.113494873046875,-0.073883056640625,0.22381591796875,-0.303680419921875,-0.26947021484375,-0.0946044921875,-0.224456787109375,-0.2318115234375,-0.182464599609375,-0.113861083984375,-0.08526611328125,0.091796875,0.065216064453125,0.278045654296875,0.068145751953125,-0.095947265625,-0.071624755859375,0.021820068359375,-0.08282470703125,0.1708984375,-0.26068115234375,0.10882568359375,-0.318389892578125,0.160247802734375,-0.180206298828125
9,1869,-0.062225341796875,-0.17315673828125,0.03521728515625,0.013397216796875,0.3402099609375,-0.35687255859375,-0.305694580078125,-0.043212890625,-0.194061279296875,-0.324005126953125,-0.178253173828125,-0.132049560546875,-0.00994873046875,0.2716064453125,0.045166015625,0.3138427734375,-0.1025390625,-0.024078369140625,0.077117919921875,0.13104248046875,-0.07135009765625,0.32989501953125,-0.440460205078125,0.0035400390625,-0.174102783203125,0.18731689453125,-0.16363525390625
10,1870,-0.007568359375,-0.159759521484375,0.131256103515625,0.019378662109375,0.28570556640625,-0.34442138671875,-0.1636962890625,-0.05621337890625,-0.11834716796875,-0.192596435546875,-0.245208740234375,-0.13616943359375,-0.093109130859375,0.078399658203125,0.006500244140625,0.466094970703125,-0.14105224609375,-0.158050537109375,0.094207763671875,0.001312255859375,-0.138427734375,0.34100341796875,-0.3968505859375,-0.096710205078125,0.05316162109375,0.02728271484375,-0.066192626953125
