,dates,aldpb,aldpc,aldpi,aldpl,aldpo,aldpp,aldqi,aldqj,aldql,aldqm,aldqn,aldqp,aldqq,aldre,aldrh,aldri,aldrm,aldrn,aldrq,aldsb,aldsh,aldsi,aldsj,aldsl,aldso,aldsp,aldsq
0,1860,-0.122711181640625,-0.00103759765625,-0.125274658203125,-0.063568115234375,0.032440185546875,-0.214111328125,-0.248931884765625,0.044921875,-0.105987548828125,-0.118072509765625,-0.3828125,-0.215362548828125,-0.12786865234375,0.253753662109375,-0.219970703125,0.43951416015625,-0.47991943359375,-0.068511962890625,0.171783447265625,-0.22991943359375,-0.396209716796875,0.160247802734375,-0.052825927734375,-0.119964599609375,-0.308349609375,0.206695556640625,-0.0277099609375
1,1861,-0.03759765625,-0.20574951171875,-0.08380126953125,-0.098876953125,-0.2203369140625,-0.16046142578125,-0.31280517578125,0.043365478515625,-0.204315185546875,-0.0545654296875,-0.36285400390625,-0.153961181640625,-0.105255126953125,0.154876708984375,-0.189666748046875,0.3924560546875,-0.22540283203125,-0.192657470703125,-0.1895751953125,-0.261749267578125,-0.457000732421875,0.201019287109375,-0.16363525390625,-0.252593994140625,0.01318359375,0.27215576171875,-0.101165771484375
2,1862,-0.1746826171875,-0.1776123046875,0.0328369140625,-0.113739013671875,-0.210693359375,-0.274688720703125,-0.279754638671875,0.014404296875,-0.162506103515625,-0.027252197265625,-0.398590087890625,-0.111053466796875,-0.21270751953125,0.00372314453125,-0.104278564453125,0.4117431640625,-0.06036376953125,-0.318939208984375,-0.350372314453125,-0.20501708984375,-0.25836181640625,-0.051055908203125,-0.14154052734375,-0.249359130859375,-0.280517578125,0.05462646484375,-0.07928466796875
3,1863,0.005828857421875,-0.238616943359375,0.052581787109375,-0.010467529296875,-0.091400146484375,-0.3748779296875,-0.3240966796875,-0.05413818359375,-0.237762451171875,-0.066619873046875,-0.2939453125,-0.104156494140625,-0.371551513671875,-0.18359375,0.087249755859375,0.447296142578125,-0.19451904296875,-0.22900390625,-0.34979248046875,-0.083343505859375,-0.154754638671875,-0.05377197265625,-0.02655029296875,-0.3018798828125,-0.346588134765625,-0.106536865234375,-0.19744873046875
4,1864,-0.0518798828125,-0.268829345703125,-0.03472900390625,-0.101776123046875,-0.064300537109375,-0.264617919921875,-0.31964111328125,-0.11334228515625,-0.17279052734375,-0.20587158203125,-0.20892333984375,-0.071044921875,-0.35479736328125,-0.081756591796875,0.22430419921875,0.394775390625,-0.33990478515625,-0.32177734375,-0.2677001953125,-0.024932861328125,-0.156463623046875,-0.136993408203125,-0.318450927734375,-0.448028564453125,-0.400146484375,-0.0152587890625,-0.186248779296875
5,1865,-0.0877685546875,-0.281768798828125,-0.0595703125,-0.13140869140625,0.217254638671875,-0.4608154296875,-0.2244873046875,0.03448486328125,-0.129608154296875,-0.25262451171875,-0.362030029296875,-0.046966552734375,-0.22259521484375,0.423553466796875,-0.011505126953125,0.2720947265625,-0.281402587890625,-0.205810546875,0.01068115234375,-0.186737060546875,-0.100128173828125,-0.186798095703125,-0.295135498046875,-0.19573974609375,-0.2845458984375,0.248779296875,-0.238525390625
6,1866,0.119354248046875,-0.415740966796875,-0.103668212890625,-0.11688232421875,0.177642822265625,-0.346649169921875,-0.0599365234375,-0.067535400390625,-0.140838623046875,-0.204132080078125,-0.421051025390625,-0.0347900390625,-0.16998291015625,0.1458740234375,0.212615966796875,0.1363525390625,-0.2454833984375,-0.21429443359375,-0.0003662109375,-0.134490966796875,-0.095977783203125,-0.01983642578125,-0.37445068359375,0.02581787109375,-0.259857177734375,0.071319580078125,-0.16229248046875
7,1867,0.217376708984375,-0.32159423828125,-0.10797119140625,-0.19720458984375,0.184326171875,-0.363525390625,-0.154449462890625,-0.045166015625,-0.288787841796875,-0.283966064453125,-0.34466552734375,-0.029571533203125,-0.17205810546875,0.283203125,0.278900146484375,0.21221923828125,-0.058685302734375,-0.343505859375,-0.03314208984375,-0.118743896484375,-0.166351318359375,0.032257080078125,-0.4569091796875,0.11773681640625,-0.388580322265625,0.03131103515625,-0.286468505859375
8,1868,0.000518798828125,-0.18829345703125,-0.171722412109375,-0.1654052734375,0.14093017578125,-0.312347412109375,-0.284271240234375,-0.14349365234375,-0.293212890625,-0.30419921875,-0.22711181640625,-0.139678955078125,-0.13311767578125,0.098724365234375,-0.01513671875,0.160858154296875,0.04119873046875,-0.144683837890625,-0.113250732421875,0.02313232421875,-0.123046875,0.1680908203125,-0.306640625,0.01287841796875,-0.40252685546875,0.179534912109375,-0.22802734375
9,1869,-0.105682373046875,-0.26092529296875,-0.02301025390625,-0.078125,0.25732421875,-0.36553955078125,-0.32049560546875,-0.09210205078125,-0.2628173828125,-0.396392822265625,-0.222900390625,-0.157867431640625,-0.05780029296875,0.278533935546875,-0.035186767578125,0.1966552734375,-0.129486083984375,-0.07281494140625,0.035491943359375,0.132354736328125,-0.111572265625,0.32708740234375,-0.486419677734375,-0.0924072265625,-0.25823974609375,0.20660400390625,-0.211456298828125
