,0,NorESM1-ME,CESM1-BGC,GFDL-ESM2M,MIROC-ESM,IPSL-CM5A-LR,CanESM2,GFDL-ESM2G,HadGEM2-ES,MPI-ESM-LR,inmcm4,MRI-ESM1,bcc-ccsm1-1,RCP8.5_concs
52,1902.0,-1.9750000000000227,-2.275000000000034,4.024999999999977,-6.5750000000000455,-4.675000000000011,-6.0750000000000455,2.4249999999999545,1.224999999999966,-0.375,-10.875,-5.5750000000000455,-2.275000000000034,296.475
53,1903.0,-1.9250000000000114,-3.3249999999999886,3.9750000000000227,-7.024999999999977,-5.224999999999966,-5.125,1.9750000000000227,1.275000000000034,-0.9250000000000114,-11.324999999999989,-6.625,-3.4250000000000114,296.825
54,1904.0,-1.8999999999999773,-2.8000000000000114,5.300000000000011,-7.399999999999977,-5.699999999999989,-4.199999999999989,2.1000000000000227,1.3000000000000114,-0.0999999999999659,-11.800000000000011,-7.199999999999989,-4.399999999999977,297.2
55,1905.0,-1.9250000000000114,-2.9250000000000114,5.574999999999989,-8.125,-5.725000000000023,-5.824999999999989,3.0749999999999886,1.2749999999999773,1.5749999999999886,-11.824999999999989,-7.225000000000023,-4.625,297.625
56,1906.0,-1.974999999999966,-3.5749999999999886,5.824999999999989,-8.175000000000011,-5.974999999999966,-6.774999999999977,4.125,1.025000000000034,1.8249999999999886,-11.474999999999966,-7.675000000000011,-5.074999999999989,298.075
57,1907.0,-2.0,-3.3999999999999773,6.100000000000023,-7.5,-6.199999999999989,-7.5,3.5,0.8999999999999773,1.6000000000000227,-11.600000000000023,-6.800000000000011,-5.800000000000011,298.5
58,1908.0,-2.0,-2.7999999999999545,5.900000000000034,-6.2999999999999545,-6.199999999999989,-7.199999999999989,3.900000000000034,1.3000000000000114,1.2000000000000455,-11.699999999999989,-6.199999999999989,-5.5,298.9
59,1909.0,-2.0,-3.0,3.8000000000000114,-5.699999999999989,-6.199999999999989,-6.100000000000023,4.099999999999966,2.5,0.39999999999997726,-11.699999999999989,-6.600000000000023,-5.699999999999989,299.3
60,1910.0,-2.0,-3.3000000000000114,2.3000000000000114,-5.099999999999966,-5.899999999999977,-5.399999999999977,3.6999999999999886,3.900000000000034,-0.39999999999997726,-11.300000000000011,-6.399999999999977,-6.0,299.7
61,1911.0,-1.974999999999966,-3.2749999999999773,3.2250000000000227,-4.175000000000011,-4.675000000000011,-4.574999999999989,4.425000000000011,4.025000000000034,-0.6750000000000114,-11.675000000000011,-6.574999999999989,-5.675000000000011,300.075
62,1912.0,-2.025000000000034,-3.525000000000034,5.274999999999977,-3.3249999999999886,-4.824999999999989,-4.925000000000011,5.474999999999966,4.675000000000011,-1.125,-12.025000000000034,-7.025000000000034,-5.324999999999989,300.425
63,1913.0,-1.974999999999966,-3.875,3.525000000000034,-3.474999999999966,-5.274999999999977,-4.974999999999966,6.225000000000023,4.8250000000000455,-2.1749999999999545,-11.474999999999966,-7.574999999999989,-5.474999999999966,300.775
64,1914.0,-2.0,-3.2000000000000455,1.7999999999999545,-2.400000000000034,-5.100000000000023,-4.600000000000023,5.399999999999977,5.199999999999989,-3.0,-11.600000000000023,-7.300000000000011,-4.800000000000011,301.1
65,1915.0,-2.0,-2.7999999999999545,2.2000000000000455,-1.6999999999999886,-5.0,-5.199999999999989,5.900000000000034,5.5,-1.6999999999999886,-11.899999999999977,-7.199999999999989,-5.0,301.4
