,ccf_warming,model,ccf_variant,rcp,base_warming,total_warming,ccf_ppm,ecs,tcr
0,-0.020013456498260463,bcc-csm1-1,aldpb,rcp26,1.8498304,1.8298169435017397,-3.4129357780143437,2.8,1.7
1,0.024843147444710174,bcc-csm1-1,aldpc,rcp26,1.8498304,1.8746735474447103,4.275391364107691,2.8,1.7
2,0.009480326423458859,bcc-csm1-1,aldpi,rcp26,1.8498304,1.859310726423459,1.6264242152023485,2.8,1.7
3,-0.024245450734596392,bcc-csm1-1,aldpl,rcp26,1.8498304,1.8255849492654037,-4.1310741174356735,2.8,1.7
4,0.18486821114869212,bcc-csm1-1,aldpo,rcp26,1.8498304,2.034698611148692,32.8752056536959,2.8,1.7
5,0.19214448423768604,bcc-csm1-1,aldpp,rcp26,1.8498304,2.0419748842376864,34.220405863828205,2.8,1.7
6,-0.05756568085660535,bcc-csm1-1,aldqi,rcp26,1.8498304,1.7922647191433947,-9.742289983691137,2.8,1.7
7,0.06924482640741138,bcc-csm1-1,aldqj,rcp26,1.8498304,1.9190752264074116,12.02517785874619,2.8,1.7
8,0.13410003792070696,bcc-csm1-1,aldql,rcp26,1.8498304,1.983930437920707,23.599447120549996,2.8,1.7
9,-0.025521293233459218,bcc-csm1-1,aldqm,rcp26,1.8498304,1.824309106766541,-4.347332775447114,2.8,1.7
10,0.076104095293708,bcc-csm1-1,aldqn,rcp26,1.8498304,1.925934495293708,13.234914290017741,2.8,1.7
11,0.14204799213751101,bcc-csm1-1,aldqp,rcp26,1.8498304,1.9918783921375112,25.03898475130518,2.8,1.7
12,0.2651513675873297,bcc-csm1-1,aldqq,rcp26,1.8498304,2.11498176758733,47.94026639166208,2.8,1.7
13,-0.04582857379022486,bcc-csm1-1,aldre,rcp26,1.8498304,1.8040018262097752,-7.774401414824524,2.8,1.7
14,-0.1363342169000019,bcc-csm1-1,aldrh,rcp26,1.8498304,1.7134961830999982,-22.708563706607265,2.8,1.7
15,0.4003027920856461,bcc-csm1-1,aldri,rcp26,1.8498304,2.250133192085646,74.43952891575344,2.8,1.7
16,0.11061664580480282,bcc-csm1-1,aldrm,rcp26,1.8498304,1.960447045804803,19.373215077759937,2.8,1.7
17,0.16580751370975091,bcc-csm1-1,aldrn,rcp26,1.8498304,2.015637913709751,29.370181081538874,2.8,1.7
18,-0.055788989494074466,bcc-csm1-1,aldrq,rcp26,1.8498304,1.7940414105059257,-9.44500626168815,2.8,1.7
19,0.04265010599748128,bcc-csm1-1,aldsb,rcp26,1.8498304,1.8924805059974814,7.366581956493633,2.8,1.7
20,-0.18946847814689138,bcc-csm1-1,aldsh,rcp26,1.8498304,1.6603619218531087,-31.22336951992719,2.8,1.7
21,-0.07730919255159655,bcc-csm1-1,aldsi,rcp26,1.8498304,1.7725212074484036,-13.031439539238193,2.8,1.7
22,0.07983620090755167,bcc-csm1-1,aldsj,rcp26,1.8498304,1.9296666009075518,13.894547315714078,2.8,1.7
23,-0.022813774076996838,bcc-csm1-1,aldsl,rcp26,1.8498304,1.8270166259230032,-3.8882674744420456,2.8,1.7
24,0.23595851128904724,bcc-csm1-1,aldso,rcp26,1.8498304,2.0857889112890473,42.40524170773949,2.8,1.7
25,0.11442187001689616,bcc-csm1-1,aldsp,rcp26,1.8498304,1.9642522700168963,20.055291125442523,2.8,1.7
26,0.06690748375967033,bcc-csm1-1,aldsq,rcp26,1.8498304,1.9167378837596705,11.613722455664174,2.8,1.7
0,-0.024722505086086456,bcc-csm1-1-m,aldpb,rcp26,1.7232738,1.6985512949139137,-3.4129357780143437,2.9,2.1
1,0.030688593902289046,bcc-csm1-1-m,aldpc,rcp26,1.7232738,1.753962393902289,4.275391364107691,2.9,2.1
2,0.01171099146427271,bcc-csm1-1-m,aldpi,rcp26,1.7232738,1.7349847914642729,1.6264242152023485,2.9,2.1
3,-0.029950262672148485,bcc-csm1-1-m,aldpl,rcp26,1.7232738,1.6933235373278517,-4.1310741174356735,2.9,2.1
4,0.22836661377191378,bcc-csm1-1-m,aldpo,rcp26,1.7232738,1.9516404137719139,32.8752056536959,2.9,2.1
5,0.23735495111714158,bcc-csm1-1-m,aldpp,rcp26,1.7232738,1.9606287511171416,34.220405863828205,2.9,2.1
6,-0.0711105469405125,bcc-csm1-1-m,aldqi,rcp26,1.7232738,1.6521632530594876,-9.742289983691137,2.9,2.1
7,0.085537726738567,bcc-csm1-1-m,aldqj,rcp26,1.7232738,1.8088115267385672,12.02517785874619,2.9,2.1
8,0.16565298801969683,bcc-csm1-1-m,aldql,rcp26,1.7232738,1.888926788019697,23.599447120549996,2.9,2.1
9,-0.031526303406037855,bcc-csm1-1-m,aldqm,rcp26,1.7232738,1.6917474965939623,-4.347332775447114,2.9,2.1
10,0.0940109412451687,bcc-csm1-1-m,aldqn,rcp26,1.7232738,1.8172847412451687,13.234914290017741,2.9,2.1
11,0.17547104911104303,bcc-csm1-1-m,aldqp,rcp26,1.7232738,1.898744849111043,25.03898475130518,2.9,2.1
12,0.3275399246667014,bcc-csm1-1-m,aldqq,rcp26,1.7232738,2.0508137246667015,47.94026639166208,2.9,2.1
13,-0.05661176762321895,bcc-csm1-1-m,aldre,rcp26,1.7232738,1.6666620323767811,-7.774401414824524,2.9,2.1
14,-0.16841285617059057,bcc-csm1-1-m,aldrh,rcp26,1.7232738,1.5548609438294094,-22.708563706607265,2.9,2.1
15,0.49449168434109225,bcc-csm1-1-m,aldri,rcp26,1.7232738,2.2177654843410926,74.43952891575344,2.9,2.1
