,dates,aldpb,aldpc,aldpi,aldpl,aldpo,aldpp,aldqi,aldqj,aldql,aldqm,aldqn,aldqp,aldqq,aldre,aldrh,aldri,aldrm,aldrn,aldrq,aldsb,aldsh,aldsi,aldsj,aldsl,aldso,aldsp,aldsq
0,1860,286.6699949002147,286.1672136615116,291.68215471806684,288.88631045860666,290.27539924506783,288.56969120996916,285.1544770898974,289.3039616703225,287.97972746278066,291.73502050319007,286.64271799656984,284.4930217675441,287.8868095153435,285.24409572128206,290.6693414181725,281.4793075561862,283.9170417494394,288.77620537638325,289.4227370482192,286.5490519483997,288.70436852395704,290.6136175046082,288.02582197716794,287.08590054355386,277.3893641212701,285.68478459915656,287.4303146117282
1,1861,286.5972756725651,285.7598632214252,291.39079825571656,288.645575479181,290.1489126750014,289.97970763488075,286.67260366174474,289.0415701337836,288.0197988071648,293.4765414631164,286.2082249273292,283.7753821619447,288.3054581947032,285.800893669313,291.3231239124963,283.2217108913358,284.315875350413,289.28924902257586,290.6994380861182,286.9345348286019,287.4852328783493,291.9831597616642,288.76784199383115,286.2016071131538,279.36179884074426,286.18457343492827,288.3921419693665
2,1862,287.0988100767136,284.6907889100045,291.8548125308007,288.03205614994187,290.22911290997973,289.76663320050153,287.0997499981472,289.2024885196323,288.7627779273316,294.1052721739238,286.2129053524272,283.71599447299644,289.14118262367657,286.59539582969785,291.5844412531111,285.1730645157989,284.1935512895526,288.6079018935561,289.4417272975922,287.57588734151796,287.78362916041675,292.08029776451764,288.83369404039433,285.28117466273466,281.78758260434154,286.88663719962767,288.479919122024
3,1863,287.18369073678986,284.3392199296928,292.89831714281297,288.9530448803932,290.25794356130064,289.5680220469578,288.57556092341173,289.93484077297825,289.59514549404213,294.1360977605323,287.04022803470826,285.0562265269797,289.5114541223104,286.1721626355905,291.2800409831107,286.47531607103616,284.5841941466047,288.3267119283449,288.1269690326669,287.0072924203916,288.06735115887767,291.0839426807466,289.09232589119875,283.637347985694,282.4564805698835,285.9076802534136,288.9997532210228
4,1864,287.88462275935507,284.43403690206736,292.43447550635955,290.5847676712173,290.39235232630745,289.68560813651,288.0208154568787,289.7678800350563,289.76024557116693,294.059024202976,287.6539008205079,287.3659395845607,287.797747163991,286.3146278700284,292.7219188264148,285.4856555297209,284.0794755188241,287.88209072610533,286.76444741325787,285.8745720004663,287.71856357872656,290.0446581241505,289.19732854278254,282.1054870516739,282.34898424919015,284.6196042479608,289.02229215335944
5,1865,288.448460527103,285.04506256219673,292.2198665063744,291.37441676787347,290.62305508308447,290.4164833704602,287.6681339165026,289.3537007780238,289.39895128132775,294.17743512154135,288.49378775868735,288.0176504153165,284.57247390178964,288.1750776644118,292.8399269215085,284.8491177163933,283.87365190693265,287.7856049136343,286.9640752165155,286.85922602149236,288.2742873308333,288.61198767448184,288.6529989402995,282.23045823820445,282.792627165856,285.26569473218507,289.75387712390244
6,1866,289.0227333409712,285.1588122377341,293.64075916501776,291.25525774857533,291.05589849429884,290.54928084158087,287.5532908629711,289.10884165353224,289.43100452042097,294.1653695994649,287.43869717635044,287.7906881622039,284.10209117944095,288.9674314329485,293.6329328804277,285.1002877419391,283.7809833264064,287.6281009362587,288.24256018693137,287.881227532952,289.69124766511163,287.6886970956217,288.18856265967366,283.9760266149163,285.25972910839215,286.63377915191546,288.8299151725898
7,1867,289.6542838160795,284.8306453829124,292.5212551913732,291.85097611678594,291.0713784248483,290.1762471248565,288.84825323158026,289.1221540101634,288.61265904693437,293.24129255573183,286.6114512223496,289.01452341497964,285.0774035323411,289.12459013306284,295.4515465799804,285.3499040198089,283.1705523104492,287.0132772262547,289.20707303438,287.7392802144062,289.15284532228145,288.5001178418117,288.03525955564425,286.97061630241063,284.1243040165864,285.84491652013224,287.2051171090623
8,1868,289.2832642167129,285.6522709903815,290.19295470789075,291.61783723710954,291.2293044077656,290.1670397312211,288.56871292439536,289.2514027983204,287.4633653184652,291.8238143055615,287.365249030038,289.62301704185927,286.23901214979765,288.7456099746156,294.1494101171636,285.9165040056475,283.8996244298125,287.01204957377,288.80321373104715,287.9246941037391,289.0022660722025,289.0045295564712,288.47673489839167,290.6943164734085,282.60684881719163,285.50694762750265,286.47278403778637
9,1869,289.3713482824916,286.6043154922822,289.70260345059535,291.21457257794896,291.2656160664152,290.1918996940367,288.20858874083075,288.72132547390225,287.19228430418303,291.486900426786,287.97238072994253,289.47239942764014,288.9311005922288,288.58405858045444,292.55152449794963,285.7956186000427,284.4445678585378,287.85047867462373,288.1906918694519,288.6859729187563,289.49687574905425,290.32813075570044,288.7391647990708,291.86643686526537,280.60270613588557,286.260956437962,286.16964978441086
