,model,scenario,warming_2090_2100,ecs,tcr
36,BNU-ESM,rcp45,3.2366485,4.1,2.6
37,CanESM2,rcp45,3.1043324,3.7,2.4
38,CCSM4,rcp45,2.6670707,2.9,1.8
39,CESM1-BGC,rcp45,2.4844396,,1.7
40,CESM1-CAM5,rcp45,2.9144716,,2.3
43,CNRM-CM5,rcp45,2.5870929,3.3,2.1
44,CSIRO-Mk3-6-0,rcp45,2.7559763,4.1,1.8
46,FGOALS-g2,rcp45,1.9378598,3.39,1.4
48,GFDL-CM3,rcp45,3.2438216,4.0,2.0
49,GFDL-ESM2G,rcp45,1.6335617,2.4,1.1
50,GFDL-ESM2M,rcp45,1.8027014,2.4,1.3
51,GISS-E2-H p1,rcp45,2.3928011,2.3,1.7
52,GISS-E2-H p2,rcp45,2.3396389,2.3,1.7
53,GISS-E2-H p3,rcp45,2.8250655,2.3,1.7
54,GISS-E2-H-CC p1,rcp45,2.3596322,2.3,1.7
55,GISS-E2-R p1,rcp45,1.834819,2.1,1.5
56,GISS-E2-R p2,rcp45,1.8524202,2.1,1.5
57,GISS-E2-R p3,rcp45,2.3450459,2.1,1.5
58,GISS-E2-R-CC p1,rcp45,1.8758518,2.1,1.5
59,HadGEM2-AO,rcp45,3.0132417,4.6,2.5
60,HadGEM2-CC,rcp45,2.5977239,4.6,2.5
61,HadGEM2-ES,rcp45,2.9826808,4.6,2.5
62,inmcm4,rcp45,1.8086502,2.1,1.3
63,IPSL-CM5A-LR,rcp45,3.2959251,4.1,2.0
64,IPSL-CM5A-MR,rcp45,3.1288342,4.03,2.0
65,IPSL-CM5B-LR,rcp45,2.5447821,2.6,1.5
66,MIROC5,rcp45,2.2006957,2.7,1.5
67,MIROC-ESM,rcp45,3.2346232,4.7,2.2
68,MIROC-ESM-CHEM,rcp45,3.2250477,4.7,2.2
69,MPI-ESM-LR,rcp45,2.5359951,3.6,2.0
70,MPI-ESM-MR,rcp45,2.5760019,3.31,2.0
71,MRI-CGCM3,rcp45,2.1475113,2.6,1.6
72,NorESM1-M,rcp45,2.250783,2.8,1.4
73,NorESM1-ME,rcp45,2.2586419,,1.6
74,bcc-csm1-1,rcp60,3.0152463,2.8,1.7
75,bcc-csm1-1-m,rcp60,2.9465119,2.9,2.1
76,CCSM4,rcp60,3.1805596,2.9,1.8
77,CESM1-CAM5,rcp60,3.5059442,,2.3
78,CSIRO-Mk3-6-0,rcp60,3.0711099,4.1,1.8
80,GFDL-CM3,rcp60,3.7519203,4.0,2.0
81,GFDL-ESM2G,rcp60,2.2833327,2.4,1.1
82,GFDL-ESM2M,rcp60,2.3985086,2.4,1.3
83,GISS-E2-H p1,rcp60,2.7577064,2.3,1.7
84,GISS-E2-H p2,rcp60,2.7953925,2.3,1.7
85,GISS-E2-H p3,rcp60,3.2297565,2.3,1.7
86,GISS-E2-R p1,rcp60,2.2888888,2.1,1.5
87,GISS-E2-R p2,rcp60,2.3002448,2.1,1.5
88,GISS-E2-R p3,rcp60,2.7957443,2.1,1.5
89,HadGEM2-AO,rcp60,3.3459404,4.6,2.5
90,HadGEM2-ES,rcp60,3.7628133,4.6,2.5
91,IPSL-CM5A-LR,rcp60,3.7431481,4.1,2.0
92,IPSL-CM5A-MR,rcp60,3.5964318,4.03,2.0
93,MIROC5,rcp60,2.531502,2.7,1.5
94,MIROC-ESM,rcp60,3.8377273,4.7,2.2
95,MIROC-ESM-CHEM,rcp60,3.8763026,4.7,2.2
96,MRI-CGCM3,rcp60,2.3871725,2.6,1.6
97,NorESM1-M,rcp60,2.5462209,2.8,1.4
98,NorESM1-ME,rcp60,2.6558379,,1.6
99,ACCESS1-0,rcp85,4.9904389,3.8,2.0
100,ACCESS1-3,rcp85,4.6924553,,1.7
101,bcc-csm1-1,rcp85,4.5654479,2.8,1.7
102,BNU-ESM,rcp85,5.6554347,4.1,2.6
103,CanESM2,rcp85,5.58041,3.7,2.4
104,CCSM4,rcp85,4.8174964,2.9,1.8
105,CESM1-BGC,rcp85,4.6689921,,1.7
106,CESM1-CAM5,rcp85,4.8860616,,2.3
109,CNRM-CM5,rcp85,4.4026474,3.3,2.1
110,CSIRO-Mk3-6-0,rcp85,4.8877291,4.1,1.8
112,FGOALS-g2,rcp85,3.9147462,3.39,1.4
114,GFDL-CM3,rcp85,5.3945306,4.0,2.0
115,GFDL-ESM2G,rcp85,3.6588035,2.4,1.1
116,GFDL-ESM2M,rcp85,3.5476631,2.4,1.3
117,GISS-E2-H p1,rcp85,3.8915385,2.3,1.7
118,GISS-E2-H p2,rcp85,3.840281,2.3,1.7
119,GISS-E2-H p3,rcp85,4.3043355,2.3,1.7
120,GISS-E2-R p1,rcp85,3.2655478,2.1,1.5
121,GISS-E2-R p2,rcp85,3.3052152,2.1,1.5
122,GISS-E2-R p3,rcp85,3.9305556,2.1,1.5
123,HadGEM2-AO,rcp85,4.9809027,4.6,2.5
124,HadGEM2-CC,rcp85,5.2258816,4.6,2.5
125,HadGEM2-ES,rcp85,5.4306719,4.6,2.5
126,inmcm4,rcp85,3.3806405,2.1,1.3
127,IPSL-CM5A-LR,rcp85,5.8677591,4.1,2.0
128,IPSL-CM5A-MR,rcp85,5.5518588,4.03,2.0
129,IPSL-CM5B-LR,rcp85,4.5177357,2.6,1.5
130,MIROC5,rcp85,4.0278585,2.7,1.5
131,MIROC-ESM,rcp85,5.7207621,4.7,2.2
132,MIROC-ESM-CHEM,rcp85,5.9983669,4.7,2.2
133,MPI-ESM-LR,rcp85,4.7573667,3.6,2.0
134,MPI-ESM-MR,rcp85,4.7167936,3.31,2.0
135,MRI-CGCM3,rcp85,3.9159365,2.6,1.6
136,NorESM1-M,rcp85,3.988519,2.8,1.4
137,NorESM1-ME,rcp85,4.157744,,1.6
