,dates,aldpb,aldpc,aldpi,aldpl,aldpo,aldpp,aldqi,aldqj,aldql,aldqm,aldqn,aldqp,aldqq,aldre,aldrh,aldri,aldrm,aldrn,aldrq,aldsb,aldsh,aldsi,aldsj,aldsl,aldso,aldsp,aldsq
0,1860,-0.107208251953125,0.05877685546875,-0.095001220703125,0.0,0.087371826171875,-0.2333984375,-0.2620849609375,0.06585693359375,-0.065185546875,-0.073638916015625,-0.366119384765625,-0.217498779296875,-0.10797119140625,0.2188720703125,-0.167572021484375,0.52874755859375,-0.480926513671875,-0.0477294921875,0.185455322265625,-0.259185791015625,-0.383941650390625,0.135101318359375,-0.034820556640625,-0.051971435546875,-0.252166748046875,0.159454345703125,-0.007843017578125
1,1861,0.013214111328125,-0.110626220703125,-0.018218994140625,0.0,-0.130096435546875,-0.144439697265625,-0.2906494140625,0.099609375,-0.128204345703125,0.025177001953125,-0.31085205078125,-0.12078857421875,-0.050048828125,0.155303955078125,-0.101959228515625,0.516998291015625,-0.19110107421875,-0.136566162109375,-0.140594482421875,-0.255706787109375,-0.409423828125,0.211181640625,-0.110321044921875,-0.1492919921875,0.10467529296875,0.260223388671875,-0.045989990234375
2,1862,-0.1090087890625,-0.067626953125,0.11328125,0.0,-0.1055908203125,-0.243804931640625,-0.24273681640625,0.08551025390625,-0.071533203125,0.067352294921875,-0.33172607421875,-0.063018798828125,-0.14263916015625,0.019012451171875,-0.001708984375,0.5511474609375,-0.011199951171875,-0.24798583984375,-0.286529541015625,-0.184112548828125,-0.1959228515625,-0.026031494140625,-0.0733642578125,-0.131195068359375,-0.174163818359375,0.05755615234375,-0.009246826171875
3,1863,-0.031768798828125,-0.231903076171875,0.029754638671875,0.0,-0.089569091796875,-0.447265625,-0.390350341796875,-0.0863037109375,-0.25006103515625,-0.075286865234375,-0.330352783203125,-0.159393310546875,-0.404754638671875,-0.271575927734375,0.0865478515625,0.483428955078125,-0.248626708984375,-0.261322021484375,-0.38922119140625,-0.16571044921875,-0.195587158203125,-0.13201904296875,-0.0616455078125,-0.2869873046875,-0.343505859375,-0.206878662109375,-0.230682373046875
4,1864,0.0018310546875,-0.170806884765625,0.03375244140625,0.0,0.028839111328125,-0.245697021484375,-0.294586181640625,-0.05419921875,-0.093780517578125,-0.12322998046875,-0.154022216796875,-0.03497314453125,-0.29669189453125,-0.07843017578125,0.314910888671875,0.522216796875,-0.302703857421875,-0.262786865234375,-0.2158203125,-0.0159912109375,-0.105987548828125,-0.123931884765625,-0.262237548828125,-0.341827392578125,-0.305755615234375,-0.0242919921875,-0.128173828125
5,1865,-0.004425048828125,-0.15411376953125,0.038543701171875,0.0,0.34002685546875,-0.412261962890625,-0.1697998046875,0.123260498046875,-0.020965576171875,-0.140350341796875,-0.277496337890625,0.01873779296875,-0.134857177734375,0.456512451171875,0.108734130859375,0.429168701171875,-0.214569091796875,-0.1171875,0.092193603515625,-0.148162841796875,-0.02001953125,-0.14410400390625,-0.20928955078125,-0.059906005859375,-0.1605224609375,0.269378662109375,-0.15081787109375
6,1866,0.18817138671875,-0.3026123046875,-0.02008056640625,0.0,0.285888671875,-0.3126220703125,-0.019775390625,0.0067138671875,-0.046722412109375,-0.10638427734375,-0.351043701171875,0.016387939453125,-0.096771240234375,0.164306640625,0.318328857421875,0.278900146484375,-0.19317626953125,-0.14019775390625,0.066619873046875,-0.110443115234375,-0.0303955078125,0.008331298828125,-0.303131103515625,0.147125244140625,-0.150360107421875,0.077392578125,-0.089111328125
7,1867,0.36651611328125,-0.128143310546875,0.055938720703125,0.0,0.372894287109375,-0.249176025390625,-0.033966064453125,0.109405517578125,-0.114349365234375,-0.10589599609375,-0.1943359375,0.1019287109375,-0.018524169921875,0.3819580078125,0.464935302734375,0.435089111328125,0.073944091796875,-0.1890869140625,0.114166259765625,-0.014373779296875,-0.02044677734375,0.1407470703125,-0.305267333984375,0.319366455078125,-0.198760986328125,0.117706298828125,-0.132965087890625
8,1868,0.11785888671875,-0.026641845703125,-0.03961181640625,0.0,0.297698974609375,-0.22979736328125,-0.195587158203125,-0.020721435546875,-0.15057373046875,-0.157928466796875,-0.10858154296875,-0.03997802734375,-0.011383056640625,0.165679931640625,0.13909912109375,0.3519287109375,0.14202880859375,-0.022064208984375,0.00225830078125,0.095703125,-0.008941650390625,0.244781494140625,-0.186798095703125,0.182708740234375,-0.2445068359375,0.234130859375,-0.1063232421875
9,1869,-0.07562255859375,-0.186553955078125,0.021820068359375,0.0,0.326812744140625,-0.370269775390625,-0.319091796875,-0.056610107421875,-0.20745849609375,-0.33740234375,-0.191650390625,-0.14544677734375,-0.023345947265625,0.258209228515625,0.031768798828125,0.300445556640625,-0.115936279296875,-0.0374755859375,0.063720703125,0.117645263671875,-0.084747314453125,0.316497802734375,-0.453857421875,-0.009857177734375,-0.1875,0.173919677734375,-0.177032470703125
